,file,unique_names
0,airport_inside---airport_inside_0001.xml,"text, ceiling, floor, bulletin board crop, screen, person standing, lamp, bulletin board, wall, display stand, person occluded, people, person walking, check-in-desk"
1,airport_inside---airport_inside_0008.xml,"floor, ceiling, large window, check-in-desks, person standing, column, door, wall, person, photo"
2,airport_inside---airport_inside_0015.xml,"curtain, floor, ceiling, window, large window, armchair, decoration, table occluded, plant, chair, window crop, plant pot, wall, plants, column"
3,airport_inside---airport_inside_0022.xml,"text, ceiling, floor, tv, person standing, suitcase crop, suitcase, chair, person sitting occluded, wall, person occluded, column, person walking, check-in-desk"
4,airport_inside---airport_inside_0029.xml,"floor, ceiling, conveyor belt, person standing, handrail, pane, wall, column"
5,airport_inside---airport_inside_0032.xml,"person walking occluded, text, ceiling, floor, screen, escalator crop, person standing, lamp, wall, separation, glass wall, sign, person walking, screens"
6,airport_inside---airport_inside_0036.xml,"floor, railling, window, escalator, stand occluded, decoration, person standing, people occluded, door, wall, staircase, glass wall, railing, person walking"
7,airport_inside---airport_inside_0040.xml,"floor, ceiling, conveyor belt, lamps, lamp"
8,airport_inside---airport_inside_0043.xml,"floor, ceiling, screen, windows, person standing, suitcase, ceilling, wall, person walking, person walkin"
9,airport_inside---airport_inside_0050.xml,"poster, ceiling, fences, floor, check-in-desks, suitcase, wall, suitcases, person occluded, person walking, hand trolley"
10,airport_inside---airport_inside_0057.xml,"floor, ceiling, wall"
11,airport_inside---airport_inside_0061.xml,"gates, floor, ceiling, display, elevator, seats, doors, wall, glass wall, check-in-desk"
12,airport_inside---airport_inside_0064.xml,"elevator, pane, person standing crop, barrier, column, check-in-desk, suitcase crop, person standing, seats, monitor, sign, people, suitcase occluded, floor, ceiling, person sitting, bulletin board, text, person sitting occluded, wall, glass wall, person walking"
13,airport_inside---airport_inside_0071.xml,"suitcase occluded, pole, ceiling, floor, conveyor belt, person standing, lamp, suitcase, wall, person walking"
14,airport_inside---airport_inside_0078.xml,"flag, elevator, seats occluded, person standing, plant, door, people, person walking occluded, floor, ceiling, fence, person sitting, bulletin board, person standing occluded, check-in-desks, suitcase, plant pot, wall, glass wall, person occluded, person walking"
15,airport_inside---airport_inside_0085.xml,"floor, ceiling, person walking, bench, bulletin board, wall, beam, double door, beams"
16,airport_inside---airport_inside_0092.xml,"floor, ceiling, conveyor belt, person standing, lamp, beam, column"
17,airport_inside---airport_inside_0099.xml,"person walking occluded, floor, ceiling, elevator, suitcase, pane, door, wall, staircase, sign, column, person walking, hand trolley"
