image_filename,size,How many people are in this image?,Is this indoors?,Is this outdoors?,Are there children in this image?,Is there text?,Is there a car?
estacion_de_ferrocarriles_35_07_altavista.jpg,132K,0,Yes,,No,,
supermarket_0136.png,941K,0,Yes,,No,Yes,
climbing_0023.png,703K,0,No,Yes,No,Yes,
jugueteria_16_09_flickr.jpg,279K,0,No,Yes,No,Yes,Yes
classroom2.jpg,38K,0,Yes,,No,,
labb.jpg,58K,0,Yes,,No,Yes,
san_jose_0049.jpg,76K,0,No,Yes,No,,
top_gear_0071.jpg,86K,4,No,Yes,No,Yes,Yes
web_playroom_70_.jpg,55K,4,Yes,,Yes,,
PRESCHOOL_PLAYMAT2.jpg,116K,3,Yes,,Yes,Yes,
opt_playroom_tepee_47_.jpg,23K,2,Yes,,Yes,,
preschool_interior.jpg,39K,21,Yes,,Yes,,
img_0499_22_.jpg,64K,3,Yes,,Yes,,
kids2_46_.jpg,58K,2,Yes,,Yes,Yes,
RMC_Pool_picture_main_pool.jpg,166K,5,Yes,,Yes,,
tots6.jpg,30K,6,Yes,,Yes,,
