image_filename,size,How many people are in this image?,Is this indoors?,Is this outdoors?,Are there children in this image?,Is there text?,Is there a car?
100_1678_4_.jpg,52K,0,Yes,,,Yes,
1793365943_cc1f2e4d69.jpg,87K,1,Yes,,,,
airport_inside_0171.jpg,112K,19,Yes,,,Yes,
antarctica_0023.png,331K,4,,Yes,,,
antarctica_0340.png,499K,6,,Yes,,,
antarctica_0360.png,452K,2,,Yes,,,
AT_00_05_8295_30_l.jpg,96K,0,Yes,,,Yes,
BB_Studio_1_Mar2005_800.jpg,113K,0,Yes,,,,
classroom2.jpg,38K,0,Yes,,,,
climbing_0018.png,656K,2,,Yes,,Yes,
climbing_0023.png,703K,0,,Yes,,Yes,
climbing_0045.png,848K,2,,Yes,,Yes,
climbing_0063.png,722K,0,,Yes,,Yes,
climbing_0150.png,973K,1,,Yes,,Yes,
climbing_0311.png,648K,1,,Yes,,Yes,
estacion_de_ferrocarriles_35_07_altavista.jpg,132K,0,Yes,,,,
explosive_0088.jpg,18K,1,Yes,,,Yes,
explosive_0107.jpg,30K,1,Yes,,,,
explosive_0164.jpg,28K,1,,Yes,,,Yes
explosive_0203.jpg,38K,2,,Yes,,,Yes
explosive_0345.jpg,40K,2,,Yes,,Yes,
explosive_0415.jpg,36K,1,Yes,,,,
explosive_0537.jpg,58K,3,Yes,,,,
explosive_0546.jpg,38K,2,,Yes,,,Yes
explosive_0694.jpg,37K,0,,Yes,,,
first_class_0011.jpg,56K,1,Yes,,,,Yes
gare_102_04_flickr.jpg,173K,14,Yes,,,Yes,
gimnasio_26_15_flickr.jpg,210K,5,Yes,,,,
gimnasio_39_02_altavista.jpg,844K,4,Yes,,,,
gym8.jpg,23K,0,Yes,,,,
iceland_0033.png,326K,0,Yes,,,,
iceland_0078.png,684K,0,,Yes,,,
img_0499_22_.jpg,64K,3,Yes,,Yes,,
inauguration_amphitheatre_1__151.jpg,44K,40,Yes,,,,
india_0031.jpg,13K,0,Yes,,,,
india_0036.jpg,26K,0,Yes,,,,
india_0037.jpg,24K,0,Yes,,,,
india_0054.jpg,44K,0,Yes,,,,
india_0059.jpg,88K,0,Yes,,,,
india_0082.jpg,28K,0,Yes,,,,
india_0093.jpg,67K,0,,Yes,,,
india_0107.jpg,60K,1,,Yes,,,
jail_hallway.jpg,36K,0,Yes,,,,
jugueteria_01_03_yahoo.jpg,191K,1,Yes,,,,
jugueteria_01_17_flickr.jpg,226K,0,Yes,,,,
jugueteria_07_15_flickr.jpg,142K,2,Yes,,,,
jugueteria_08_10_altavista.jpg,191K,0,Yes,,,Yes,
jugueteria_16_09_flickr.jpg,279K,0,,Yes,,Yes,Yes
kids2_46_.jpg,58K,2,Yes,,Yes,Yes,
labb.jpg,58K,0,Yes,,,Yes,
lehuaroom.jpg,61K,0,Yes,,,,
manhattan_0735.png,353K,1,,Yes,,,
oldJail_Run.jpg,40K,0,Yes,,,,
opt_playroom_tepee_47_.jpg,23K,2,Yes,,Yes,,
orient_express_0017.jpg,60K,11,,Yes,,Yes,Yes
orient_express_0023.jpg,60K,1,Yes,,,,
orient_express_0027.jpg,84K,1,Yes,,,,
orient_express_0046.jpg,58K,1,Yes,,,,
orient_express_0067.jpg,44K,1,Yes,,,,
orient_express_0095.jpg,74K,4,Yes,,,,
P2170478.jpg,190K,1,Yes,,,,
pakistan_0002.png,608K,1,,Yes,,,
pakistan_0030.png,455K,1,,Yes,,,Yes
pakistan_0349.png,553K,1,,Yes,,,
pakistan_0495.png,552K,1,,Yes,,,
Pegnotti_estudio_River.jpg,39K,1,Yes,,,,
playroom15_57_.jpg,181K,0,Yes,,,,
pool_inside_02_03_altavista.jpg,73K,0,Yes,,,,
POOL_INSIDE300.jpg,35K,3,Yes,,,,
preschool_interior.jpg,39K,21,Yes,,Yes,,
PRESCHOOL_PLAYMAT2.jpg,116K,3,Yes,,Yes,Yes,
primark_0006.png,409K,1,,Yes,,,Yes
primark_0651.png,596K,0,Yes,,,,
raft_0078.png,368K,1,,Yes,,Yes,
raft_0177.png,437K,1,Yes,,,,
raft_0178.png,433K,2,Yes,,,,
raft_0195.png,582K,4,Yes,,,Yes,
RMC_Pool_picture_main_pool.jpg,166K,5,Yes,,Yes,,
room322.jpg,52K,0,Yes,,,,
safari_0063.jpg,72K,2,,Yes,,,Yes
safari_0099.jpg,131K,0,,Yes,,,
san_jose_0049.jpg,76K,0,,Yes,,,
san_jose_0129.jpg,55K,1,Yes,,,,
scary_0011.jpg,22K,1,,Yes,,,Yes
scary_0037.jpg,16K,0,,Yes,,,Yes
scary_0181.jpg,25K,1,,Yes,,,Yes
submarine_0431.jpg,73K,1,Yes,,,Yes,
supermarket_0136.png,941K,0,Yes,,,Yes,
supermarket_0152.png,863K,0,Yes,,,Yes,
supermarket_0158.png,718K,3,Yes,,,Yes,
supermarket_0180.png,681K,0,Yes,,,Yes,
supermarket_0367.png,638K,0,Yes,,,Yes,
supermarket_0565.png,486K,1,,Yes,,,Yes
top_gear_0005.jpg,71K,1,,Yes,,Yes,Yes
top_gear_0069.jpg,44K,1,,Yes,,Yes,
top_gear_0071.jpg,86K,4,,Yes,,Yes,Yes
top_gear_0113.jpg,120K,2,,Yes,,Yes,Yes
tots6.jpg,30K,6,Yes,,Yes,,
train_station_15_19_altavista.jpg,89K,14,Yes,,,,
web_playroom_70_.jpg,55K,4,Yes,,Yes,,
